No.,PosX,PosY,PosZ,Rx,Ry,Rz,DWNx,DWNy,DWNz,Lx,Ly,Lz,
81,0.277217192,0.093945205,0,0.277217192,0.093945205,0.0127,0.277217192,0.080246575,0,0.277217192,0.093945205,-0.0127,
82,0.284066507,0.093945205,0,0.284066507,0.093945205,0.0127,0.284066507,0.080246575,0,0.284066507,0.093945205,-0.0127,
83,0.290915822,0.093945205,0,0.290915822,0.093945205,0.0127,0.290915822,0.080246575,0,0.290915822,0.093945205,-0.0127,
84,0.297765137,0.093945205,0,0.297765137,0.093945205,0.0127,0.297765137,0.080246575,0,0.297765137,0.093945205,-0.0127,
85,0.304614452,0.093945205,0,0.304614452,0.093945205,0.0127,0.304614452,0.080246575,0,0.304614452,0.093945205,-0.0127,
86,0.311463767,0.093945205,0,0.311463767,0.093945205,0.0127,0.311463767,0.080246575,0,0.311463767,0.093945205,-0.0127,
87,0.318313082,0.093945205,0,0.318313082,0.093945205,0.0127,0.318313082,0.080246575,0,0.318313082,0.093945205,-0.0127,
88,0.325162397,0.093945205,0,0.325162397,0.093945205,0.0127,0.325162397,0.080246575,0,0.325162397,0.093945205,-0.0127,
89,0.332011712,0.093945027,0,0.332011712,0.093945015,0.0127,0.332012247,0.080246397,-1.36986E-08,0.332011712,0.09394504,-0.0127,
90,0.338861014,0.093954795,0,0.338861014,0.093954401,0.0127,0.338947575,0.080256438,-4.24658E-07,0.338861014,0.093955188,-0.0127,
91,0.345709397,0.094058082,0,0.345709423,0.094057587,0.0127,0.346079397,0.080364452,-5.34247E-07,0.345709372,0.094058577,-0.0127,
92,0.352552658,0.09433963,0,0.352552696,0.094339173,0.0127,0.353336904,0.080663466,-5.06849E-07,0.352552619,0.094340087,-0.0127,
93,0.359382425,0.09485189,0,0.359382488,0.094851459,0.0127,0.360668699,0.081213781,-4.65753E-07,0.359382361,0.094852322,-0.0127,
94,0.366186603,0.095632795,0,0.366186692,0.095632388,0.0127,0.368040658,0.082060219,-4.52055E-07,0.366186514,0.095633201,-0.0127,
95,0.372949808,0.096711507,0,0.37294991,0.096711139,0.0127,0.375423699,0.08323811,-4.10959E-07,0.372949707,0.096711875,-0.0127,
96,0.379653877,0.098110932,0,0.379654004,0.098110601,0.0127,0.382788247,0.084775712,-3.83562E-07,0.37965375,0.098111262,-0.0127,
97,0.38627826,0.099848712,0,0.386278387,0.09984842,0.0127,0.390103397,0.086694973,-3.28767E-07,0.386278133,0.099849004,-0.0127,
98,0.392800534,0.101937466,0,0.392800661,0.10193725,0.0127,0.39733637,0.089011575,-2.73973E-07,0.392800407,0.101937682,-0.0127,
99,0.399196781,0.104384562,0,0.399196882,0.104384409,0.0127,0.404452342,0.091734205,-1.91781E-07,0.399196679,0.104384714,-0.0127,
100,0.40544326,0.107191808,0,0.405443324,0.107191732,0.0127,0.411416932,0.094864288,-9.58904E-08,0.405443197,0.107191884,-0.0127,
101,0.411516932,0.110355753,0,0.411516944,0.110355753,0.0127,0.41819663,0.098396068,-1.36986E-08,0.411516919,0.110355753,-0.0127,
102,0.41739626,0.113867849,0,0.417396197,0.1138679,0.0127,0.424759877,0.102316671,8.21918E-08,0.417396324,0.113867799,-0.0127,
103,0.423062027,0.117714712,0,0.423060605,0.117715728,0.0127,0.431083548,0.106610315,1.78082E-06,0.42306345,0.117713696,-0.0127,
104,0.428504795,0.121871548,0,0.428502623,0.121872932,0.0127,0.436995699,0.111121808,2.63014E-06,0.428506966,0.121870164,-0.0127,
105,0.43386074,0.126140877,0,0.433860778,0.126140851,0.0127,0.442393096,0.115424,-4.10959E-08,0.433860702,0.126140902,-0.0127,
106,0.439219192,0.130407041,-1.36986E-08,0.439219192,0.130407041,0.012699986,0.447751521,0.119690137,-1.36986E-08,0.439219192,0.130407041,-0.012700014,
107,0.44457763,0.134673205,-1.36986E-08,0.444577643,0.134673205,0.012699986,0.453109959,0.123956301,-2.73973E-08,0.444577617,0.134673205,-0.012700014,
108,0.449936082,0.13893937,-1.36986E-08,0.449936095,0.13893937,0.012699986,0.458468411,0.128222466,-2.73973E-08,0.449936069,0.13893937,-0.012700014,
109,0.455294534,0.143205521,-1.36986E-08,0.455294547,0.143205521,0.012699986,0.463826863,0.132488616,-2.73973E-08,0.455294522,0.143205521,-0.012700014,
110,0.460652986,0.147471685,-1.36986E-08,0.460652999,0.147471672,0.012699986,0.469185315,0.136754781,-2.73973E-08,0.460652974,0.147471698,-0.012700014,
111,0.466011438,0.151737849,-1.36986E-08,0.466011451,0.151737837,0.012699986,0.474543767,0.141020945,-2.73973E-08,0.466011426,0.151737862,-0.012700014,
112,0.47136989,0.156004014,-1.36986E-08,0.471369903,0.156004001,0.012699986,0.479902219,0.14528711,-2.73973E-08,0.471369878,0.156004026,-0.012700014,
113,0.476728329,0.160270178,-1.36986E-08,0.476728341,0.160270165,0.012699986,0.485260658,0.149553274,-2.73973E-08,0.476728316,0.160270191,-0.012700014,
114,0.482086781,0.164536329,-1.36986E-08,0.482086794,0.164536316,0.012699986,0.49061911,0.153819425,-2.73973E-08,0.482086768,0.164536341,-0.012700014,
115,0.487445233,0.168802493,-2.73973E-08,0.487445246,0.16880248,0.012699973,0.495977562,0.158085589,-5.47945E-08,0.48744522,0.168802506,-0.012700027,
116,0.492803685,0.173068658,-2.73973E-08,0.492803698,0.173068645,0.012699973,0.501336014,0.162351753,-5.47945E-08,0.492803672,0.17306867,-0.012700027,
117,0.498162137,0.177334822,-2.73973E-08,0.49816215,0.177334809,0.012699973,0.506694466,0.166617918,-5.47945E-08,0.498162124,0.177334835,-0.012700027,
118,0.503520575,0.181600986,-2.73973E-08,0.503520601,0.181600974,0.012699973,0.512052904,0.170884082,-5.47945E-08,0.50352055,0.181600999,-0.012700027,
119,0.508879027,0.185867137,-2.73973E-08,0.508879053,0.185867124,0.012699973,0.517411356,0.175150233,-5.47945E-08,0.508879002,0.18586715,-0.012700027,
120,0.514237479,0.190133301,-2.73973E-08,0.514237505,0.190133276,0.012699973,0.522769808,0.179416397,-5.47945E-08,0.514237454,0.190133327,-0.012700027,
121,0.519595932,0.194399466,-4.10959E-08,0.519595957,0.19439944,0.012699959,0.52812826,0.183682562,-6.84932E-08,0.519595906,0.194399491,-0.012700041,
122,0.524954384,0.19866563,-4.10959E-08,0.524954409,0.198665605,0.012699959,0.533486712,0.187948726,-8.21918E-08,0.524954358,0.198665656,-0.012700041,
123,0.530312836,0.202931795,-4.10959E-08,0.530312861,0.202931769,0.012699959,0.538845164,0.19221489,-8.21918E-08,0.53031281,0.20293182,-0.012700041,
124,0.535671274,0.207197945,-4.10959E-08,0.535671299,0.20719792,0.012699959,0.544203603,0.196481041,-8.21918E-08,0.535671249,0.207197971,-0.012700041,
125,0.541029726,0.21146411,-4.10959E-08,0.541029751,0.211464084,0.012699959,0.549562055,0.200747205,-8.21918E-08,0.541029701,0.211464135,-0.012700041,
126,0.546388178,0.215730274,-5.47945E-08,0.546388203,0.215730249,0.012699945,0.554920507,0.20501337,-9.58904E-08,0.546388153,0.215730299,-0.012700055,
127,0.55174663,0.219996438,-5.47945E-08,0.551746668,0.2199964,0.012699945,0.560278959,0.209279534,-1.09589E-07,0.551746592,0.219996476,-0.012700055,
128,0.557105082,0.224262603,-5.47945E-08,0.55710512,0.224262565,0.012699945,0.565637411,0.213545699,-1.09589E-07,0.557105044,0.224262641,-0.012700055,
129,0.562463521,0.228528753,-5.47945E-08,0.562463559,0.228528715,0.012699945,0.570995849,0.217811849,-1.09589E-07,0.562463482,0.228528792,-0.012700055,
130,0.567821973,0.232794918,-6.84932E-08,0.567822011,0.23279488,0.012699932,0.576354301,0.222078014,-1.23288E-07,0.567821935,0.232794956,-0.012700068,
131,0.573180425,0.237061082,-6.84932E-08,0.573180463,0.237061044,0.012699932,0.581712753,0.226344178,-1.23288E-07,0.573180387,0.23706112,-0.012700068,
132,0.578538877,0.241327247,-6.84932E-08,0.578538915,0.241327208,0.012699932,0.587071205,0.230610342,-1.36986E-07,0.578538839,0.241327285,-0.012700068,
133,0.583897329,0.245593411,-6.84932E-08,0.583897367,0.24559336,0.012699932,0.592429658,0.234876507,-1.36986E-07,0.583897291,0.245593462,-0.012700068,
134,0.589255781,0.249859562,-8.21918E-08,0.589255832,0.249859511,0.012699918,0.59778811,0.239142658,-1.50685E-07,0.58925573,0.249859612,-0.012700082,
135,0.594614219,0.254125726,-8.21918E-08,0.59461427,0.254125675,0.012699918,0.603146548,0.243408822,-1.50685E-07,0.594614168,0.254125777,-0.012700082,
136,0.599972671,0.25839189,-8.21918E-08,0.599972722,0.25839184,0.012699918,0.608505,0.247674986,-1.64384E-07,0.59997262,0.258391941,-0.012700082,
137,0.605331123,0.262658055,-8.21918E-08,0.605331174,0.262658004,0.012699918,0.613863452,0.251941151,-1.64384E-07,0.605331072,0.262658106,-0.012700082,
138,0.610689575,0.266924205,-9.58904E-08,0.610689626,0.266924155,0.012699904,0.619221904,0.256207301,-1.78082E-07,0.610689525,0.266924256,-0.012700096,
139,0.616048027,0.27119037,-9.58904E-08,0.616048078,0.271190306,0.012699904,0.624580356,0.260473466,-1.78082E-07,0.616047977,0.271190433,-0.012700096,
140,0.621406466,0.275456534,-9.58904E-08,0.621406529,0.275456471,0.012699904,0.629938795,0.26473963,-1.91781E-07,0.621406402,0.275456598,-0.012700096,
141,0.626764918,0.279722699,-9.58904E-08,0.626764981,0.279722635,0.012699904,0.635297247,0.269005795,-1.91781E-07,0.626764854,0.279722762,-0.012700096,
142,0.63212337,0.283988863,-1.09589E-07,0.632123433,0.2839888,0.01269989,0.640655699,0.273271959,-2.05479E-07,0.632123306,0.283988927,-0.01270011,
143,0.637481822,0.288255014,-1.09589E-07,0.637481885,0.28825495,0.01269989,0.646014151,0.27753811,-2.05479E-07,0.637481758,0.288255077,-0.01270011,
144,0.642840274,0.292521178,-1.09589E-07,0.642840337,0.292521102,0.01269989,0.651372603,0.281804274,-2.19178E-07,0.64284021,0.292521254,-0.01270011,
145,0.648198726,0.296787342,-1.09589E-07,0.64819879,0.296787266,0.01269989,0.656731055,0.286070438,-2.19178E-07,0.648198663,0.296787419,-0.01270011,
